shelf,book,n_o,n_e,page_o,page_e,wavelength_um,mp_id
main,CaGdAlO4,1.9470991939812812,1.970173549642473,Loiko-o,Loiko-e,0.54,mp-1227092
main,CaYAlO4,1.9138818796614294,1.936303909348124,Loiko-o,Loiko-e,0.54,mp-1227044
main,BaB2O4,1.6742780804741793,1.5550221128955701,Eimerl-o,Eimerl-e,0.54,
main,CsLiB6O10,1.4978100258761888,1.444706588266413,Sasaki-o,Sasaki-e,0.54,mp-1021352
main,LuAl3(BO3)4,1.781157431988967,1.7060549526270934,Fang-o,Fang-e,0.54,mp-504573
main,SiC,2.665215984595767,2.7129383079258353,Singh-o,Singh-e,0.54,mp-1204356
main,CaCO3,1.662122743068469,1.4878936422503137,Ghosh-o,Ghosh-e,0.54,mp-3953
main,LaF3,1.606127622159114,1.5987607425099553,Laihoa-o,Laihoa-e,0.54,mp-2664
main,LiCaAlF6,1.3933773991186031,1.3920379135226817,Woods-o,Woods-e,0.54,mp-6134
main,MgF2,1.3787174232137072,1.3905674098088463,Li-o,Li-e,0.54,mp-1249
main,YLiF4,1.4551260689309897,1.4779631266779603,Barnes-o,Barnes-e,0.54,mp-3700
main,Pb5Ge3O11,2.146513803507192,2.1826330619178536,Simon-o,Simon-e,0.54,
main,LiIO3,1.8964845712948166,1.7467314301267591,Umegaki-o,Umegaki-e,0.54,mp-23352
main,CaMoO4,2.0020968883633192,2.0126678972043623,Bond-o,Bond-e,0.54,mp-19090
main,PbMoO4,2.444542484880015,2.2995334013990214,Malitson-o,Malitson-e,0.54,mp-20418
main,SrMoO4,1.917232848515878,1.922391340989785,Bond-o,Bond-e,0.54,mp-22640
main,AlN,2.160592778417592,2.2076390404507937,Pastrnak-o,Pastrnak-e,0.54,mp-661
main,BN,2.22741,1.61257,Grudinin-o,Grudinin-e,0.54,mp-604884
main,GaN,2.4194160148711505,2.3120958988174647,Barker-o,Barker-e,0.54,mp-804
main,LiNbO3,2.319364480984676,2.2303081677658345,Zelmon-o,Zelmon-e,0.54,mp-3731
main,Al2O3,1.771126907470336,1.7629924368941317,Malitson-o,Malitson-e,0.54,mp-1143
main,BeO,1.7207637195998349,1.7366813353441792,Edwards-o,Edwards-e,0.54,mp-2542
main,ScAlMgO4,1.846873,1.777833,Stefaniuk-o,Stefaniuk-e,0.54,mp-1096925
main,SiO2,1.5464484700369179,1.5556253428291842,Ghosh-o,Ghosh-e,0.54,mp-7000
main,TeO2,2.2964683170322275,2.4557730213679245,Uchida-o,Uchida-e,0.54,mp-557
main,TiO2,2.6586142126062295,2.9663965415756004,Devore-o,Devore-e,0.54,mp-2657
main,ZnO,2.025023814069092,2.0418909836053283,Bond-o,Bond-e,0.54,mp-2133
main,AlPO4,1.52694,1.53646,Bond-o,Bond-e,0.54,mp-5331
main,KH2PO4,1.5119510696886185,1.4701144444539798,Zernike-o,Zernike-e,0.54,mp-696752
main,NH4H2PO4,1.5270209745618781,1.4811170649968177,Zernike-o,Zernike-e,0.54,mp-6978
main,AgGaS2,2.6136182631722145,2.5846389553468363,Kato-o,Kato-e,0.54,mp-5342
main,CdS,2.6385664674624256,2.620385694786618,Bieniewski-o,Bieniewski-e,0.54,mp-672
main,CdGa2S4,2.486075795037746,2.4845493969184806,Kato-o,Kato-e,0.54,
main,GaS,2.7352849999999997,2.4170149999999997,Zotev-o,Zotev-e,0.54,mp-2507
main,LiTaO3,2.20296,2.20742,Bond-o,Bond-e,0.54,mp-3666
main,BaTiO3,2.4592382521886536,2.4075484306417865,Wemple-o,Wemple-e,0.54,mp-5986
main,PbTiO3,2.73507912978994,2.7204691386230757,Singh-o,Singh-e,0.54,mp-20459
main,YVO4,2.011829992645937,2.244437279009358,Birnbaum-o,Birnbaum-e,0.54,mp-19133
main,CaWO4,1.9277316735328502,1.9450287509087627,Bond-o,Bond-e,0.54,mp-18921
main,MgO,1.7414289937862646,,Stephens-vis,,0.54,mp-1265
main,ZnS,2.3919899559082696,,Debenham,,0.54,mp-554820
,CaO,1.8328,,,,0.6562,mp-2605
,CaO,1.8702,,,,0.4358,mp-2605
,CdO,2.2,,,,1.15,mp-1132
,CaS,1.43,,,,0.302,mp-1672
,CaS,1.37,,,,0.344,mp-1672
,MgS,1.53,,,,0.318,mp-1315
,MgS,1.44,,,,0.335,mp-1315
,MgCO3,1.508,,,,,mp-5348
