material,mp_id,pair_style,potential_ref,file,source,used_in,status,reference,notes
GaN,mp-804,kim,SW_BereSerra_2006_GaN__MO_861114678890_000,,OpenKIM,in.GaN,kim,https://openkim.org/id/SW_BereSerra_2006_GaN__MO_861114678890_000,"Stillinger-Weber (Bere & Serra, 2006); pulled by KIM API at runtime; CONFIRMED on openkim.org"
GaN,mp-804,tersoff,Nord-2003,potentials/GaN.tersoff,local,,local,"Nord et al., J. Phys.: Condens. Matter 15 (2003) 5649","Tersoff parameters for Ga-N; placed locally, currently unused (KIM SW preferred)"
CaGdAlO4,mp-1227092,,,,,,needs_dft,,"Quaternary oxide with rare-earth Gd; no KIM model and no published classical potential covering Ca-Gd-Al-O simultaneously. Use DFT-MD."
CaYAlO4,mp-1227044,,,,,,needs_dft,,"Quaternary oxide with Y; Lewis/Catlow Buckingham parameters exist for individual Ca-O, Y-O, Al-O pairs but not jointly fitted; no KIM model. Recommend DFT-MD."
BaB2O4,,,,,,,needs_dft,,"Borate (BBO); no KIM model, no widely validated classical potential for B-O network in this anisotropic phase. Use DFT-MD."
CsLiB6O10,mp-1021352,,,,,,needs_dft,,"CLBO borate; no KIM coverage of Cs-Li-B-O, no published transferable classical potential. Use DFT-MD."
LuAl3(BO3)4,mp-504573,,,,,,needs_dft,,"Lu-Al borate (huntite-type); rare-earth + borate, no classical potential or KIM model. Use DFT-MD."
SiC,mp-1204356,kim,Tersoff_LAMMPS_ErhartAlbe_2005_SiC__MO_903987585848_005,,OpenKIM,,kim,https://openkim.org/id/Tersoff_LAMMPS_ErhartAlbe_2005_SiC__MO_903987585848_005,"Erhart-Albe Tersoff for Si-C; CONFIRMED v005 on openkim.org; MP id is for hexagonal/2H polytype - parameters fit cubic 3C primarily, verify phase before production"
SiC,mp-1204356,vashishta,Vashishta-2007,potentials/SiC.vashishta,literature,,local,"Vashishta et al., J. Appl. Phys. 101, 103515 (2007)","Vashishta 3-body for SiC; downloaded from lammps/lammps github (potentials/SiC.vashishta, dated 2015-10-14); local file present"
CaCO3,mp-3953,buck/coul/long,Raiteri-2010,potentials/CaCO3.raiteri,literature,,local_pending,"Raiteri, Gale, Quigley, Rodger, J. Phys. Chem. C 114, 5997 (2010)","Raiteri-Gale rigid-ion Buckingham + intramolecular CO3; not in KIM. FILE PENDING - manual extraction from paper / GULP library required."
LaF3,mp-2664,buck/coul/long,Walker-Catlow,potentials/LaF3.buck,literature,,local_pending,"Walker, Dixon, Gillan, J. Phys. C 15, 4061 (1982); Catlow et al.","Buckingham rigid-ion fit for LaF3 tysonite; no KIM model. FILE PENDING - manual extraction from 1982 paper required."
LiCaAlF6,mp-6134,,,,,,needs_dft,,"LiCAF; mixed Li-Ca-Al-F system, no consistent classical fit, no KIM model. Use DFT-MD."
MgF2,mp-1249,buck/coul/long,Catlow-MgF2,potentials/MgF2.buck,literature,,local_pending,"Catlow, Norgett, Ross, J. Phys. C 10, 1627 (1977)","Rigid-ion Buckingham for rutile-type MgF2; no KIM model verified. FILE PENDING - manual extraction from 1977 paper."
YLiF4,mp-3700,buck/coul/long,YLF-Buckingham,potentials/YLiF4.buck,literature,,local_pending,"Chernyshev et al., Phys. Solid State 39 (1997); various Y-F, Li-F Buckingham fits","Composite Buckingham (Y-F + Li-F); transferability uncertain. FILE PENDING - composite fit from multiple sources, error-prone."
Pb5Ge3O11,,,,,,,needs_dft,,"Lead germanate; no KIM model, no transferable classical potential for Pb-Ge-O ferroelectric phase. Use DFT-MD."
LiIO3,mp-23352,,,,,,needs_dft,,"Lithium iodate; iodate (IO3) molecular anion not parametrized in standard MD potentials, no KIM model. Use DFT-MD."
CaMoO4,mp-19090,,,,,,needs_dft,,"Scheelite; no KIM model, no widely used classical potential for Mo-O in tetrahedral MoO4 group with full transferability. Use DFT-MD (or develop bespoke shell model)."
